,ppg
1483,30.86691
1484,30.378511
1485,30.378511
1486,30.378511
1487,29.963371
1488,29.963371
1489,29.62149
1490,29.62149
1491,29.62149
1492,29.30403
1493,29.30403
1494,29.03541
1495,29.03541
1496,28.84005
1497,28.84005
1498,28.84005
1499,28.64469
1500,28.64469
1501,28.47375
1502,28.47375
1503,28.47375
1504,28.278389
1505,28.278389
1506,28.058609
1507,28.058609
1508,27.521368
1509,27.521368
1510,27.521368
1511,27.106228
1512,27.106228
1513,26.617826
1514,26.617826
1515,26.617826
1516,26.056166
1517,26.056166
1518,25.396826
1519,25.396826
1520,24.664225
1521,24.664225
1522,24.664225
1523,23.931623
1524,23.931623
1525,23.321123
1526,23.321123
1527,23.321123
1528,23.076923
1529,23.076923
1530,23.589745
1531,23.589745
1532,24.859585
1533,24.859585
1534,24.859585
1535,27.008547
1536,27.008547
1537,30.354092
1538,30.354092
1539,30.354092
1540,34.822956
1541,34.822956
1542,40.07326
1543,40.07326
1544,45.738705
1545,45.738705
1546,45.738705
1547,51.45299
1548,51.45299
1549,56.67888
1550,56.67888
1551,56.67888
1552,61.269844
1553,61.269844
1554,65.128204
1555,65.128204
1556,67.96093
1557,67.96093
1558,67.96093
1559,69.74359
1560,69.74359
1561,70.69597
1562,70.69597
1563,70.69597
1564,71.013435
1565,71.013435
1566,70.72039
1567,70.72039
1568,70.03663
1569,70.03663
1570,70.03663
1571,69.10867
1572,69.10867
1573,68.10745
1574,68.10745
1575,68.10745
1576,67.15507
1577,67.15507
1578,66.30037
1579,66.30037
1580,65.61661
1581,65.61661
1582,65.61661
1583,65.05495
1584,65.05495
1585,64.590965
1586,64.590965
1587,64.590965
1588,64.151405
1589,64.151405
1590,63.687424
1591,63.687424
1592,63.125763
1593,63.125763
1594,63.125763
1595,62.344322
1596,62.344322
1597,61.245422
1598,61.245422
1599,61.245422
1600,59.8779
1601,59.8779
1602,58.36386
1603,58.36386
1604,56.72772
1605,56.72772
1606,56.72772
1607,55.067158
1608,55.067158
1609,53.431015
1610,53.431015
1611,53.431015
1612,51.89255
1613,51.89255
1614,50.54945
1615,50.54945
1616,49.40171
1617,49.40171
1618,49.40171
1619,48.44933
1620,48.44933
1621,47.643467
1622,47.643467
1623,47.643467
1624,47.032967
1625,47.032967
1626,46.520145
1627,46.520145
1628,46.105007
1629,46.105007
1630,46.105007
1631,45.714287
1632,45.714287
1633,45.299145
1634,45.299145
1635,45.299145
1636,44.859585
1637,44.859585
1638,44.371185
1639,44.371185
1640,43.809525
1641,43.809525
1642,43.809525
1643,43.199024
1644,43.199024
1645,42.61294
1646,42.61294
1647,42.61294
1648,42.026863
1649,42.026863
1650,41.489624
1651,41.489624
1652,41.05006
1653,41.05006
1654,41.05006
1655,40.708183
1656,40.708183
1657,40.4884
1658,40.4884
1659,40.4884
1660,40.366302
1661,40.366302
1662,40.31746
1663,40.31746
1664,40.31746
1665,40.31746
1666,40.31746
1667,40.366302
1668,40.366302
1669,40.415142
1670,40.415142
1671,40.415142
1672,40.43956
1673,40.43956
1674,40.415142
1675,40.415142
1676,40.39072
1677,40.39072
1678,40.39072
1679,40.34188
1680,40.34188
1681,40.2442
1682,40.2442
1683,40.2442
1684,40.04884
1685,40.04884
1686,39.78022
1687,39.78022
1688,39.46276
1689,39.46276
1690,39.46276
1691,39.0232
1692,39.0232
1693,38.43712
1694,38.43712
1695,38.43712
1696,37.72894
1697,37.72894
1698,36.971916
1699,36.971916
1700,36.117218
1701,36.117218
1702,36.117218
1703,35.238094
1704,35.238094
1705,34.358974
1706,34.358974
1707,34.358974
1708,33.528694
1709,33.528694
1710,32.771675
1711,32.771675
1712,32.11233
1713,32.11233
1714,32.11233
1715,31.623932
1716,31.623932
1717,31.257631
1718,31.257631
1719,31.257631
1720,31.013432
1721,31.013432
1722,30.89133
1723,30.89133
1724,30.818071
1725,30.818071
1726,30.818071
1727,30.744812
1728,30.744812
1729,30.72039
1730,30.72039
1731,30.72039
1732,30.598291
1733,30.598291
1734,30.378511
1735,30.378511
1736,30.06105
1737,30.06105
1738,30.06105
1739,
1740,
1741,29.59707
1742,29.59707
1743,29.59707
1744,28.98657
1745,28.98657
1746,28.376068
1747,28.376068
1748,27.887669
1749,27.887669
1750,27.887669
1751,27.765568
1752,27.765568
1753,28.44933
1754,28.44933
1755,28.44933
1756,29.93895
1757,29.93895
